iter	MAPE	MAE
758	0.1409568567	159199.1316
759	0.1409417859	159184.5897
760	0.1409332427	159175.8461
761	0.1409078827	159130.66
762	0.1408790071	159094.5279
763	0.1408594286	159080.7449
764	0.1408388107	159064.281
765	0.1408212151	159046.614
766	0.1408065838	159023.3849
767	0.140795572	159016.6575
768	0.1407657404	158978.772
769	0.140735793	158962.3937
770	0.140697899	158935.5353
771	0.1406866023	158927.1889
772	0.1406442159	158904.9513
773	0.1406347108	158900.3396
774	0.1406236809	158893.2883
775	0.1406204785	158888.4086
776	0.1406014904	158876.826
777	0.1405738367	158829.0628
778	0.1405670632	158821.139
779	0.1405602433	158815.2347
780	0.1405449155	158799.7665
781	0.1405221907	158780.8583
782	0.1405037288	158767.2333
783	0.1404817987	158754.2404
784	0.1404691033	158746.4972
785	0.1404500385	158726.6948
786	0.1404409897	158716.2068
787	0.1404090415	158681.1172
788	0.1403924936	158665.5382
789	0.1403715783	158627.2184
790	0.1403409197	158607.3321
791	0.1403172113	158579.5887
792	0.1402388342	158512.1769
793	0.1402235912	158499.0273
794	0.1402157854	158492.1789
795	0.1401960961	158473.5592
796	0.1401855099	158464.8487
797	0.140172235	158448.4986
798	0.1401545132	158437.2816
799	0.1401450367	158432.8084
800	0.1401348226	158422.0836
801	0.140112084	158401.3323
802	0.1401088449	158398.9133
803	0.1401003492	158385.2753
804	0.1400788039	158348.5497
805	0.1400524294	158305.8693
806	0.1400400993	158291.9048
807	0.1400060608	158261.2238
808	0.1399918438	158244.4809
809	0.1399839424	158237.6812
810	0.1399814587	158233.0943
811	0.1399698162	158226.4713
812	0.1399384171	158190.2511
813	0.1399286917	158182.7047
814	0.1399046602	158165.5645
815	0.1398782945	158144.467
816	0.1398570212	158096.6228
817	0.1398253454	158081.1386
818	0.1398049581	158066.5593
819	0.1398018652	158062.6723
820	0.139791773	158051.7025
821	0.1397801278	158036.082
822	0.1397597474	158010.6224
823	0.1397206484	157968.3029
824	0.1397100058	157948.2685
825	0.1397046566	157944.9647
826	0.1396940092	157931.7698
827	0.1396752483	157921.6381
828	0.139668158	157917.3549
829	0.1396617098	157903.832
830	0.1396518605	157892.0649
831	0.1396334458	157865.3294
832	0.1396197023	157857.4606
833	0.1396119843	157851.3557
834	0.1396007226	157832.587
835	0.1395755509	157800.6498
836	0.1395629482	157790.2022
837	0.1395363881	157767.3555
838	0.1395205969	157756.2657
839	0.1395076957	157737.2068
840	0.1395023802	157734.078
841	0.1394900205	157724.1699
842	0.1394752847	157713.7093
843	0.1394539364	157694.5911
844	0.1394456035	157689.6149
845	0.1393925971	157621.7265
846	0.1393812079	157611.4178
847	0.1393753556	157606.8559
848	0.1393602538	157574.8562
849	0.1393369852	157555.1514
850	0.1393353867	157548.8049
851	0.1393165579	157525.5456
852	0.1393053367	157519.9539
853	0.1392953358	157507.6293
854	0.1392792943	157489.7126
855	0.139261645	157474.4917
856	0.1392341127	157446.2406
857	0.1392087695	157427.6532
858	0.1391708099	157400.5477
859	0.1391611907	157393.1056
860	0.1391458946	157382.0171
861	0.1391324969	157372.9821
862	0.1391167111	157361.0451
863	0.1391081379	157355.3186
864	0.1390848543	157331.6033
865	0.1390602381	157315.2955
866	0.1390547624	157307.5869
867	0.1390437975	157297.3967
868	0.1390373062	157292.7762
869	0.1390289584	157286.6417
870	0.1390229276	157281.465
871	0.1390082692	157258.9865
872	0.1390003994	157254.1025
873	0.1389800815	157241.2785
874	0.1389575088	157219.9209
875	0.1389494959	157209.3796
876	0.1389438367	157201.1727
877	0.1389398081	157198.9499
878	0.1389359499	157196.9265
879	0.1389183423	157181.7582
880	0.1389099957	157176.2826
881	0.138879851	157154.5757
882	0.1388738047	157142.1728
883	0.138854677	157129.2517
884	0.1388485699	157120.5093
885	0.1388158214	157102.4386
886	0.138797299	157073.6883
887	0.1387772075	157054.0648
888	0.1387623781	157044.067
889	0.1387530691	157035.5501
890	0.1387450774	157027.724
891	0.1387317287	157014.8403
892	0.1387250131	157004.6452
893	0.1387075292	156987.2427
894	0.1387026409	156982.1427
895	0.1386701315	156952.1864
896	0.1386679148	156950.077
897	0.1386538371	156934.9305
898	0.1386365431	156918.9775
899	0.1386281412	156913.3296
900	0.1386162795	156897.0488
901	0.1385951643	156879.2792
902	0.1385807292	156866.3995
903	0.1385723628	156860.4983
904	0.1385292482	156827.2465
905	0.1385122935	156806.6688
906	0.138506635	156797.4945
907	0.1384761351	156771.2879
908	0.1384648737	156761.8279
909	0.1384595814	156757.381
910	0.1384397475	156742.1503
911	0.1384069159	156712.4385
912	0.1383876997	156699.3114
913	0.1383752719	156687.0942
914	0.1383666433	156677.6304
915	0.1383559685	156665.9966
916	0.1383373512	156632.5777
917	0.1383358351	156630.6921
918	0.1383093106	156592.2553
919	0.1383046226	156586.6316
920	0.1382957043	156577.2566
921	0.1382867271	156565.2976
922	0.1382555368	156522.817
923	0.1382442356	156517.0668
924	0.138243548	156516.3685
925	0.1382186479	156483.2804
926	0.1382075091	156473.9302
927	0.1381915247	156459.9089
928	0.1381701619	156439.2749
929	0.1381511461	156417.9229
930	0.1381142257	156384.9354
931	0.1381004164	156374.5529
932	0.1380589506	156334.2567
933	0.1380456667	156325.9428
934	0.1380150042	156291.8551
935	0.1380016878	156280.359
936	0.1379913162	156267.7867
937	0.1379787281	156258.5695
938	0.1379453027	156234.5333
939	0.1379194584	156209.3833
940	0.137899354	156197.1297
941	0.1378799199	156183.3129
942	0.1378735627	156179.9182
943	0.1378639551	156175.3258
