iter	Logloss	F1:use_weights=true	F1:use_weights=false
289	0.0999316606	0.9956479965	0.9830954995
290	0.09907312616	0.9953683668	0.9826564215
291	0.09859806239	0.995593486	0.9835201055
292	0.09800123927	0.9960420673	0.9846086192
293	0.09740310371	0.9957060838	0.983952517
294	0.09674296104	0.9959857524	0.9843921741
295	0.09599731685	0.9962673907	0.9854753521
296	0.09535884069	0.9965491883	0.9865609165
297	0.09534745598	0.9965491883	0.9865609165
298	0.09473455608	0.996887556	0.9878667549
299	0.09425256136	0.9971132621	0.988739236
300	0.09424874789	0.9971132621	0.988739236
301	0.09337200926	0.997056826	0.9885209713
302	0.09293788743	0.997056826	0.9885209713
303	0.09250954632	0.9970003963	0.9883028029
304	0.09202184938	0.997056826	0.9885209713
305	0.09141106339	0.9970003963	0.9883028029
306	0.09116782575	0.9969439729	0.9880847308
307	0.09046770208	0.9972261535	0.9891760548
308	0.08989341906	0.9971132621	0.988739236
309	0.08928348564	0.9973390704	0.9896132597
310	0.08868389036	0.9971132621	0.988739236
311	0.08797177863	0.9971132621	0.988739236
312	0.08741139857	0.9972261535	0.9891760548
313	0.08717877253	0.9972826088	0.9893946089
314	0.08682763172	0.9972261535	0.9891760548
315	0.08651211167	0.9972261535	0.9891760548
316	0.08583452865	0.9972826088	0.9893946089
317	0.08534602524	0.9973390704	0.9896132597
318	0.08471894915	0.9973390704	0.9896132597
319	0.08419980545	0.9975084938	0.9902697921
320	0.08375695741	0.9975084938	0.9902697921
321	0.08308858151	0.9976779748	0.9909271963
322	0.0827099228	0.9977344813	0.991146525
323	0.08223825859	0.9978475134	0.9915854739
324	0.08175861439	0.9980171096	0.9922446266
325	0.08169856821	0.9980171096	0.9922446266
326	0.08145484025	0.9980736544	0.992464539
327	0.08119540026	0.9980736544	0.992464539
328	0.08079112725	0.9981867634	0.9929046563
329	0.08048922233	0.9982433275	0.9931248614
330	0.07993851346	0.998356475	0.9935655647
331	0.07924268901	0.9982433275	0.9931248614
332	0.0784632836	0.9984130583	0.993786063
333	0.07832849018	0.9984696481	0.9940066593
334	0.07809249388	0.998356475	0.9935655647
335	0.07773761424	0.9984696481	0.9940066593
336	0.07724201828	0.9986960712	0.9948900244
337	0.07653029188	0.9986394558	0.994669036
338	0.07617108584	0.998865956	0.9955535794
339	0.07574209502	0.9986394558	0.994669036
340	0.07539035095	0.9985828468	0.9944481457
341	0.07485697351	0.9987526931	0.9951111111
342	0.07439688039	0.9989225971	0.9957749611
343	0.07396532142	0.9990358986	0.99621802
344	0.07359703108	0.9990358986	0.99621802
345	0.07330750056	0.9991492258	0.9966614734
346	0.07283345974	0.9991492258	0.9966614734
347	0.07229710794	0.9992058991	0.9968833482
348	0.0717258413	0.9992058991	0.9968833482
349	0.07135878457	0.9992625787	0.9971053218
350	0.07091819019	0.9993192648	0.9973273942
351	0.07091776006	0.9993192648	0.9973273942
352	0.07045062731	0.9994893617	0.9979942055
353	0.07035675174	0.9994326563	0.997771836
354	0.070021461	0.9994326563	0.997771836
355	0.06940618269	0.9996595165	0.998661909
356	0.069196621	0.9996027918	0.9984392419
357	0.06890208336	0.9996595165	0.998661909
358	0.06859674116	0.9996595165	0.998661909
359	0.06844625913	0.9996595165	0.998661909
360	0.06805758365	0.9997162477	0.9988846754
361	0.06745203773	0.9998297293	0.9993305066
362	0.06718191257	0.9998864797	0.9995535714
363	0.06687206103	0.9999432366	0.9997767359
364	0.06658322821	0.9999432366	0.9997767359
365	0.06645752362	0.9998297293	0.9993305066
366	0.06602350783	0.9998297293	0.9993305066
367	0.0658111047	0.9997729852	0.9991075413
368	0.06541278317	0.9997729852	0.9991075413
369	0.06511996915	0.9997729852	0.9991075413
370	0.06451779963	0.9997729852	0.9991075413
371	0.06420938321	0.9996595165	0.998661909
372	0.06378086238	0.9998297293	0.9993305066
373	0.06356541925	0.9998297293	0.9993305066
374	0.06297769464	0.9997729852	0.9991075413
375	0.06279945697	0.9998297293	0.9993305066
376	0.06249577109	0.9998297293	0.9993305066
377	0.06216617177	0.9998297293	0.9993305066
378	0.06167339966	0.9997729852	0.9991075413
379	0.06128512579	0.9997729852	0.9991075413
380	0.06079076486	0.9998297293	0.9993305066
381	0.06064852479	0.9998297293	0.9993305066
382	0.06044926917	0.9998297293	0.9993305066
383	0.05998268061	0.9998297293	0.9993305066
384	0.0597568643	0.9998297293	0.9993305066
385	0.05939591212	0.9998297293	0.9993305066
386	0.05913221632	0.9998864797	0.9995535714
387	0.05861354761	0.9998864797	0.9995535714
388	0.05830454308	0.9998297293	0.9993305066
389	0.05796061312	0.9998297293	0.9993305066
390	0.05759037614	0.9998864797	0.9995535714
391	0.05738046549	0.9998864797	0.9995535714
392	0.0570996471	0.9998864797	0.9995535714
393	0.05678695547	0.9998864797	0.9995535714
394	0.05644349809	0.9998864797	0.9995535714
395	0.0560664558	0.9998297293	0.9993305066
396	0.0557748567	0.9998297293	0.9993305066
397	0.0555428685	0.9998297293	0.9993305066
398	0.05523188535	0.9998297293	0.9993305066
399	0.05496702314	0.9998297293	0.9993305066
400	0.05470211022	0.9997729852	0.9991075413
401	0.05441109913	0.9997729852	0.9991075413
